,Metabolic Pathway
CYP51A1,lipids
HS3ST1,carbohydrates
SLC25A13,carbohydrates
AASS,amino acids and derivatives
CHDH,amino acids and derivatives
AGPS,lipids
MRI1,amino acids and derivatives
HEXB,carbohydrates
GALC,lipids
OAT,amino acids and derivatives
PFKP,carbohydrates
ASNS,amino acids and derivatives
PLD1,lipids
PGM1,carbohydrates
AKR1B1,carbohydrates
SMOX,amino acids and derivatives
CERS4,lipids
PHGDH,amino acids and derivatives
XYLB,carbohydrates
PTGS1,lipids
PLA2G3,lipids
CERK,lipids
NME3,nucleotides
NME4,nucleotides
SLC7A5,amino acids and derivatives
XYLT1,carbohydrates
FAH,amino acids and derivatives
SQLE,lipids
GALK1,carbohydrates
ALDOC,carbohydrates
AADAT,amino acids and derivatives
SC5D,lipids
CHPT1,lipids
ENO2,carbohydrates
GNPDA1,carbohydrates
HGD,amino acids and derivatives
DHCR24,lipids
AGMAT,amino acids and derivatives
B4GALT2,carbohydrates
B4GALT6,carbohydrates
GDA,nucleotides
PPP1R3C,carbohydrates
EPHX2,lipids
CHST3,carbohydrates
PFKFB2,carbohydrates
CHPF,carbohydrates
HS3ST3B1,carbohydrates
NT5C,nucleotides
ASL,amino acids and derivatives
SGPP1,lipids
IDUA,carbohydrates
MPST,amino acids and derivatives
IVD,amino acids and derivatives
DCTD,nucleotides
CDO1,amino acids and derivatives
GAMT,amino acids and derivatives
ASS1,amino acids and derivatives
BHMT2,amino acids and derivatives
PSAT1,amino acids and derivatives
GLUL,amino acids and derivatives
HS6ST1,carbohydrates
PAOX,amino acids and derivatives
QDPR,amino acids and derivatives
HK1,carbohydrates
ST3GAL2,carbohydrates
CBR1,lipids
HK2,carbohydrates
ALDH4A1,amino acids and derivatives
CBS,amino acids and derivatives
GYG1,carbohydrates
ALDH7A1,amino acids and derivatives
CRYL1,carbohydrates
GPT2,amino acids and derivatives
CKB,amino acids and derivatives
TK2,nucleotides
ENTPD3,nucleotides
CERS6,lipids
HPSE,carbohydrates
PC,carbohydrates
CHST2,carbohydrates
GPX2,lipids
B3GNT3,carbohydrates
SLC36A4,amino acids and derivatives
NQO1,amino acids and derivatives
SGSH,carbohydrates
PYCR1,amino acids and derivatives
NAT8L,amino acids and derivatives
